ORCID,pub_date,DOI,already_oa,issn,source,publisher,policy_uri,submitted_oa_policy,accepted_oa_policy,published_oa_policy
https://orcid.org/0000-0003-3474-0843,2025-01-27,https://doi.org/10.1021/acs.est.4c10360,no,0013-936X,Environmental Science & Technology,American Chemical Society,https://v2.sherpa.ac.uk/id/publication/7774,None,None,710:fee_yes:no conditions;
,2025-01-29,https://doi.org/10.1080/02791072.2025.2452226,no,0279-1072,Journal of Psychoactive Drugs,Taylor & Francis,https://v2.sherpa.ac.uk/id/publication/18901,None,None,None
https://orcid.org/0000-0002-6352-8289,2025-01-29,https://doi.org/10.1080/15290824.2024.2429504,no,1529-0824,Journal of Dance Education,Taylor & Francis,https://v2.sherpa.ac.uk/id/publication/18889,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
,2025-02-01,https://doi.org/10.1016/j.psychsport.2025.102820,yes,1878-5476,Psychology of sport and exercise,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/16062,None,11179:fee_no:Must link to publisher version with DOI;11183:fee_no:Must link to publisher version with DOI;,11181:fee_yes:Published source must be acknowledged with citation;11182:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-4935-5833,2025-01-01,https://doi.org/10.1123/jsm.2024-0199,no,0888-4773,Journal of Sport Management,Human Kinetics,https://v2.sherpa.ac.uk/id/publication/12254,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0002-5547-2297,2025-01-01,https://doi.org/10.1123/ijsc.2024-0231,no,1936-3907,International Journal of Sport Communication,Human Kinetics,https://v2.sherpa.ac.uk/id/publication/12247,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0001-8188-9769,2025-02-01,https://doi.org/10.1029/2023je008046,yes,2169-9097,Journal of Geophysical Research Planets,Wiley,https://v2.sherpa.ac.uk/id/publication/11077,"1013:fee_no:Set statement to accompany deposit (see policy) Upon publication, published source must be acknowledged with citation Upon publication, must link to published article with DOI;",None,9708:fee_no:Published source must be acknowledged with citation Copyright must be acknowledged Must link to published article with DOI;
https://orcid.org/0000-0001-6019-5522,2025-02-07,https://doi.org/10.3390/urbansci9020037,yes,2413-8851,Urban Science,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/33267,None,None,None
https://orcid.org/0009-0004-2631-2931,2025-02-09,https://doi.org/10.1177/00222194241312189,yes,0022-2194,Journal of Learning Disabilities,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9307,None,None,None
https://orcid.org/0000-0002-4676-2823,2025-02-09,https://doi.org/10.1177/10778012251319317,yes,1077-8012,Violence Against Women,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9564,None,None,None
https://orcid.org/0000-0002-4989-5058,2025-02-12,https://doi.org/10.1177/09622802241310326,yes,0962-2802,Statistical Methods in Medical Research,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9490,None,None,None
https://orcid.org/0000-0002-5214-1943,2025-02-13,https://doi.org/10.1002/jad.12476,yes,0140-1971,Journal of Adolescence,Wiley,https://v2.sherpa.ac.uk/id/publication/13752,11219:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11220:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);11221:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
https://orcid.org/0000-0002-2678-2798,2025-02-19,https://doi.org/10.1016/j.evalprogplan.2025.102559,yes,0149-7189,Evaluation and Program Planning,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/16897,None,10970:fee_no:Must link to publisher version with DOI;,10972:fee_yes:Published source must be acknowledged with citation;10973:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-3710-4893,2025-02-19,https://doi.org/10.1021/acs.chemrestox.4c00425,no,0893-228X,Chemical Research in Toxicology,American Chemical Society,https://v2.sherpa.ac.uk/id/publication/7769,None,None,710:fee_yes:no conditions;
https://orcid.org/0000-0002-4326-7405,2025-02-24,https://doi.org/10.1111/nicc.13273,yes,1362-1017,Nursing in Critical Care,Wiley,https://v2.sherpa.ac.uk/id/publication/15923,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0001-5678-7234,2025-03-19,https://doi.org/10.1016/j.jamda.2025.105521,yes,1525-8610,Journal of the American Medical Directors Association,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/14125,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0001-5668-9706,2025-03-04,https://doi.org/10.1097/jsm.0000000000001340,yes,1050-642X,Clinical Journal of Sport Medicine,Lippincott Williams & Wilkins,https://v2.sherpa.ac.uk/id/publication/8742,None,6750:fee_no:Set statement to accompany deposit;,None
https://orcid.org/0000-0003-1940-1755,2025-03-01,https://doi.org/10.1002/ecy.70009,yes,0012-9658,Ecology,Wiley,https://v2.sherpa.ac.uk/id/publication/13292,None,None,None
https://orcid.org/0000-0003-2833-2501,2025-03-07,https://doi.org/10.1016/j.envres.2025.121330,no,0013-9351,Environmental Research,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/11285,None,11157:fee_no:Must link to publisher version with DOI;11161:fee_no:Must link to published article with DOI Publisher source must be acknowledged with citation;,11159:fee_yes:Published source must be acknowledged with citation;11160:fee_yes:no conditions;
https://orcid.org/0000-0001-6670-3030,2025-03-13,https://doi.org/10.1016/j.jelekin.2025.102992,yes,1050-6411,Journal of Electromyography and Kinesiology,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/40987,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-0833-2133,2025-03-12,https://doi.org/10.1016/j.ssmph.2025.101776,yes,2352-8273,SSM - Population Health,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/31540,None,None,None
,2025-03-11,https://doi.org/10.1002/adsc.202500008,yes,1615-4150,Advanced Synthesis & Catalysis,Wiley,https://v2.sherpa.ac.uk/id/publication/1447,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-4652-6310,2025-03-01,https://doi.org/10.3138/cjc-2024-0019,no,0705-3657,Canadian Journal of Communication,Jilin Academy of Agricultural Sciences,https://v2.sherpa.ac.uk/id/publication/10292,None,354:fee_no:Must link to published article with DOI;8618:fee_no:Publisher copyright and source must be acknowledged;,None
https://orcid.org/0000-0001-7217-3443,2025-03-19,https://doi.org/10.4088/jcp.24br15503,yes,0160-6689,The Journal of Clinical Psychiatry,"Physicians Postgraduate Press, Inc.",https://v2.sherpa.ac.uk/id/publication/15067,None,9729:fee_no:no conditions;,None
https://orcid.org/0000-0001-6067-470X,2025-03-01,https://doi.org/10.1111/jar.70034,yes,1360-2322,Journal of Applied Research in Intellectual Disabilities,Wiley,https://v2.sherpa.ac.uk/id/publication/7037,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0001-9796-5156,2025-03-24,https://doi.org/10.5465/amle.2022.0435,no,1537-260X,Academy of Management Learning and Education,Academy of Management,error,error,error,error
https://orcid.org/0000-0003-1633-9757,2025-03-01,https://doi.org/10.1016/j.jri.2025.104524,no,0165-0378,Journal of Reproductive Immunology,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/14103,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0002-2473-8646,2025-03-29,https://doi.org/10.1177/00076503251324569,yes,0007-6503,Business & Society,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9059,None,None,None
https://orcid.org/0000-0001-8418-449X,2025-04-01,https://doi.org/10.14814/phy2.70299,yes,2051-817X,Physiological Reports,Wiley,https://v2.sherpa.ac.uk/id/publication/27408,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
https://orcid.org/0000-0002-2451-7982,2025-04-01,https://doi.org/10.1016/j.nlm.2025.108048,yes,1074-7427,Neurobiology of Learning and Memory,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/12877,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
,2025-04-03,https://doi.org/10.3390/adolescents5020011,yes,2673-7051,Adolescents,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/39197,None,None,None
https://orcid.org/0000-0002-4214-8543,2025-04-15,https://doi.org/10.1111/nyas.15331,no,0077-8923,Annals of the New York Academy of Sciences,Wiley,https://v2.sherpa.ac.uk/id/publication/7600,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
,2025-04-16,https://doi.org/10.3390/educsci15040497,yes,2227-7102,Education Sciences,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/24796,None,None,None
https://orcid.org/0000-0002-3882-000X,2025-04-23,https://doi.org/10.1007/s00442-025-05711-6,no,0029-8549,Oecologia,Springer Science+Business Media,https://v2.sherpa.ac.uk/id/publication/8139,None,None,None
https://orcid.org/0000-0002-7274-4645,2025-04-22,https://doi.org/10.1080/14413523.2025.2493430,no,1441-3523,Sport Management Review,Taylor & Francis,https://v2.sherpa.ac.uk/id/publication/17154,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
https://orcid.org/0000-0002-3882-000X,2025-05-01,https://doi.org/10.1093/icb/icaf023,no,1540-7063,Integrative and Comparative Biology,Oxford University Press,https://v2.sherpa.ac.uk/id/publication/1349,None,39:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with DOI Set phrase to accompany archived copy;,None
