ORCID,author_position,corresponding_author,pub_date,DOI,already_oa,oa_status,issn,source,publisher,policy_uri,submitted_oa_policy,accepted_oa_policy,published_oa_policy
,middle,none,2025-04-15,https://doi.org/10.1038/s42255-025-01264-3,yes,hybrid,2522-5812,Nature Metabolism,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/35368,"11461:fee_no:Must link to publisher version Upon publication, source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;",11462:fee_no:Must link to publisher version Published source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;,None
https://orcid.org/0000-0003-4793-7899,first,https://orcid.org/0000-0003-4793-7899,2025-01-24,https://doi.org/10.1126/sciadv.adr2613,yes,gold,2375-2548,Science Advances,American Association for the Advancement of Science,https://v2.sherpa.ac.uk/id/publication/29739,None,None,None
https://orcid.org/0000-0001-7350-6991,middle,https://orcid.org/0000-0002-3892-4087,2025-03-10,https://doi.org/10.1038/s41593-025-01880-y,no,closed,1097-6256,Nature Neuroscience,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/1657,"11461:fee_no:Must link to publisher version Upon publication, source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;",11462:fee_no:Must link to publisher version Published source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms Non-commercial use only;,None
https://orcid.org/0000-0001-7604-6046,middle,https://orcid.org/0000-0003-4852-3401,2025-02-03,https://doi.org/10.3389/fmars.2025.1473382,yes,gold,2296-7745,Frontiers in Marine Science,Frontiers Media,https://v2.sherpa.ac.uk/id/publication/26075,None,None,None
https://orcid.org/0000-0002-8238-9560,middle,none,2025-02-01,https://doi.org/10.1016/j.jbc.2025.108327,yes,gold,0021-9258,Journal of Biological Chemistry,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/10347,None,None,None
https://orcid.org/0000-0001-9068-401X,first,https://orcid.org/0000-0003-3679-9726,2025-01-06,https://doi.org/10.1007/s11356-024-35787-1,no,closed,0944-1344,Environmental Science and Pollution Research,Springer Science+Business Media,https://v2.sherpa.ac.uk/id/publication/7949,None,None,None
,first,none,2025-01-13,https://doi.org/10.1139/apnm-2024-0302,no,closed,1715-5312,Applied Physiology Nutrition and Metabolism,NRC Research Press,https://v2.sherpa.ac.uk/id/publication/10122,8195:fee_no:no conditions;,3875:fee_no:Publisher copyright and source must be acknowledged Author's archived version must not be amended once its accepted for publication Must link to publisher version;,None
https://orcid.org/0000-0001-9699-9098,first,https://orcid.org/0000-0001-9699-9098,2025-01-23,https://doi.org/10.1177/19485506241305698,no,closed,1948-5506,Social Psychological and Personality Science,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9475,None,None,None
https://orcid.org/0000-0002-6222-7863,last,none,2025-01-29,https://doi.org/10.1002/csr.3141,no,closed,1535-3958,Corporate Social Responsibility and Environmental Management,Wiley,https://v2.sherpa.ac.uk/id/publication/7432,11212:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11213:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
https://orcid.org/0000-0002-9757-2771,middle,none,2025-01-01,https://doi.org/10.1093/abm/kaaf002,no,closed,0883-6612,Annals of Behavioral Medicine,Oxford University Press,https://v2.sherpa.ac.uk/id/publication/13071,None,39:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with DOI Set phrase to accompany archived copy;,None
https://orcid.org/0000-0002-6293-4197,first,https://orcid.org/0000-0002-8038-300X,2025-02-03,https://doi.org/10.1111/dar.14010,yes,hybrid,0959-5236,Drug and Alcohol Review,Wiley,https://v2.sherpa.ac.uk/id/publication/6781,11219:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11220:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);11221:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
https://orcid.org/0000-0003-0958-7728,last,https://orcid.org/0000-0001-5322-3038,2025-02-26,https://doi.org/10.3390/microorganisms13030511,yes,gold,2076-2607,Microorganisms,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/24814,None,None,None
https://orcid.org/0000-0002-6293-4197,first,https://orcid.org/0000-0002-6293-4197,2025-03-07,https://doi.org/10.1159/000544104,yes,hybrid,1022-6877,European Addiction Research,Karger Publishers,https://v2.sherpa.ac.uk/id/publication/9000,9077:fee_no:Set statement to accompany deposit;,9078:fee_no:no conditions;,None
https://orcid.org/0000-0001-5038-8355,first,none,2025-03-31,https://doi.org/10.1177/20530196251315454,no,closed,2053-0196,The Anthropocene Review,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/31211,None,None,None
https://orcid.org/0000-0002-1833-2746,middle,https://orcid.org/0000-0002-5652-1687,2025-01-05,https://doi.org/10.1111/acel.14425,yes,gold,1474-9718,Aging Cell,Wiley,https://v2.sherpa.ac.uk/id/publication/80,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
https://orcid.org/0000-0002-2580-5361,middle,https://orcid.org/0000-0002-9208-9975,2025-01-16,https://doi.org/10.1007/s11625-024-01607-1,no,closed,1862-4057,Sustainability Science,Springer Science+Business Media,https://v2.sherpa.ac.uk/id/publication/17471,None,None,None
https://orcid.org/0000-0002-4989-5058,first,none,2025-01-01,https://doi.org/10.1016/j.jtho.2025.01.019,yes,hybrid,1556-0864,Journal of Thoracic Oncology,Elsevier BV,None,None,None,None
https://orcid.org/0000-0002-5516-4542,first,https://orcid.org/0000-0002-4333-6909,2025-01-24,https://doi.org/10.3390/molecules30030535,yes,gold,1420-3049,Molecules,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/19458,None,None,None
,first,none,2025-01-01,https://doi.org/10.1016/j.bbadis.2025.167694,yes,hybrid,0925-4439,Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/12433,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0002-3913-9961,first,none,2025-01-27,https://doi.org/10.1093/geront/gnaf012,no,closed,0016-9013,The Gerontologist,Oxford University Press,https://v2.sherpa.ac.uk/id/publication/725,None,39:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with DOI Set phrase to accompany archived copy;,None
