ORCID,author_position,corresponding_author,pub_date,DOI,already_oa,oa_status,issn,source,publisher,policy_uri,submitted_oa_policy,accepted_oa_policy,published_oa_policy
https://orcid.org/0000-0001-6019-5522,middle,https://orcid.org/0000-0001-9913-2895,2025-02-07,https://doi.org/10.3390/urbansci9020037,yes,gold,2413-8851,Urban Science,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/33267,None,None,None
https://orcid.org/0000-0002-0530-1860,first,none,2025-01-01,https://doi.org/10.1123/ssj.2024-0150,no,closed,0741-1235,Sociology of Sport Journal,Human Kinetics,https://v2.sherpa.ac.uk/id/publication/12265,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0001-7057-5860,first,none,2025-02-17,https://doi.org/10.1080/09518398.2025.2452633,no,closed,0951-8398,International Journal of Qualitative Studies in Education,Taylor & Francis,https://v2.sherpa.ac.uk/id/publication/5432,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
https://orcid.org/0000-0002-1649-2834,last,https://orcid.org/0000-0002-8056-6682,2025-02-19,https://doi.org/10.1177/15407969251319255,no,closed,1540-7969,Research and Practice for Persons with Severe Disabilities,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/35709,None,None,None
https://orcid.org/0000-0002-4968-8550,first,none,2025-02-01,https://doi.org/10.1016/j.neuint.2025.105952,yes,hybrid,0197-0186,Neurochemistry International,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/12841,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0002-4989-5058,middle,https://orcid.org/0000-0003-2526-1197,2025-02-21,https://doi.org/10.1001/jamahealthforum.2024.5581,yes,gold,2689-0186,JAMA Health Forum,American Medical Association,https://v2.sherpa.ac.uk/id/publication/39406,None,None,None
https://orcid.org/0000-0002-3913-9961,first,none,2025-02-01,https://doi.org/10.1016/j.inpsyc.2025.100052,yes,hybrid,1041-6102,International Psychogeriatrics,Cambridge University Press,None,None,None,None
https://orcid.org/0000-0002-4214-8543,last,https://orcid.org/0000-0002-4214-8543,2025-03-04,https://doi.org/10.1007/s00421-025-05728-y,yes,hybrid,1439-6319,European Journal of Applied Physiology,Springer Science+Business Media,https://v2.sherpa.ac.uk/id/publication/28234,None,None,None
https://orcid.org/0000-0002-8147-4376,first,none,2025-03-11,https://doi.org/10.1016/j.neuropharm.2025.110409,yes,hybrid,0028-3908,Neuropharmacology,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/4662,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-0833-2133,first,none,2025-03-12,https://doi.org/10.1016/j.ssmph.2025.101776,yes,gold,2352-8273,SSM - Population Health,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/31540,None,None,None
https://orcid.org/0000-0003-0063-3935,middle,none,2025-01-01,https://doi.org/10.1039/d5sc01857a,yes,diamond,2041-6520,Chemical Science,Royal Society of Chemistry,https://v2.sherpa.ac.uk/id/publication/18004,None,6619:fee_no:Academic Social Network must be signed up to STM sharing principles;,None
https://orcid.org/0000-0002-3882-000X,first,none,2025-04-25,https://doi.org/10.1242/jeb.250297,yes,hybrid,0022-0949,Journal of Experimental Biology,The Company of Biologists,https://v2.sherpa.ac.uk/id/publication/14671,7117:fee_no:Must link to publisher version;,None,3762:fee_no:Must link to publisher version;
https://orcid.org/0000-0002-4989-5058,middle,none,2025-04-24,https://doi.org/10.1136/thorax-2024-222098,no,closed,0040-6376,Thorax,BMJ,https://v2.sherpa.ac.uk/id/publication/1961,None,197:fee_no:Upon online publication Publisher copyright and source must be acknowledged Must link to published article with DOI Set statement to accompany deposit;10362:fee_no:Upon online publication Publisher source must be acknowledged with citation Must link to published article with DOI Set statement to accompany deposit;,11335:fee_yes:Published source must be acknowledged with citation Must link to publisher version;
https://orcid.org/0000-0003-3133-9763,last,none,2025-05-14,https://doi.org/10.1002/hrm.22314,yes,hybrid,0090-4848,Human Resource Management,Wiley,https://v2.sherpa.ac.uk/id/publication/14605,11212:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11213:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
https://orcid.org/0000-0002-6000-9029,first,none,2025-05-23,https://doi.org/10.1177/00380261251335443,no,closed,0038-0261,The Sociological Review,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/16023,None,None,None
https://orcid.org/0000-0003-2626-1375,middle,none,2025-06-19,https://doi.org/10.1021/acs.joc.5c00819,no,closed,0022-3263,The Journal of Organic Chemistry,American Chemical Society,https://v2.sherpa.ac.uk/id/publication/7797,None,None,710:fee_yes:no conditions;
https://orcid.org/0000-0001-8188-9769,first,none,2025-07-14,https://doi.org/10.1038/s41467-025-60026-7,yes,gold,2041-1723,Nature Communications,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/24265,None,None,None
https://orcid.org/0000-0003-1509-7960,middle,none,2025-08-08,https://doi.org/10.1001/jamanetworkopen.2025.25887,yes,gold,2574-3805,JAMA Network Open,American Medical Association,https://v2.sherpa.ac.uk/id/publication/35490,None,None,None
https://orcid.org/0009-0004-4322-9072,first,https://orcid.org/0000-0002-2239-0818,2025-01-03,https://doi.org/10.1002/ejoc.202401203,no,closed,1099-0690,European Journal of Organic Chemistry,Wiley,https://v2.sherpa.ac.uk/id/publication/1692,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0001-8933-6392,middle,none,2025-01-01,https://doi.org/10.1016/j.pld.2025.01.002,yes,diamond,2468-2659,Plant Diversity,Elsevier BV,None,None,None,None
https://orcid.org/0000-0001-5678-7234,last,https://orcid.org/0000-0003-1239-1937,2025-01-06,https://doi.org/10.1111/jgs.19337,yes,hybrid,0002-8614,Journal of the American Geriatrics Society,Wiley,https://v2.sherpa.ac.uk/id/publication/15161,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-6067-247X,middle,none,2025-01-14,https://doi.org/10.4088/pcc.24m03810,no,closed,2155-7780,The Primary Care Companion For CNS Disorders,,https://v2.sherpa.ac.uk/id/publication/15068,None,9729:fee_no:no conditions;,None
https://orcid.org/0000-0002-4472-4831,middle,,2025-01-14,https://doi.org/10.1002/rcm.9986,yes,hybrid,0951-4198,Rapid Communications in Mass Spectrometry,Wiley,https://v2.sherpa.ac.uk/id/publication/7560,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-3622-1548,middle,https://orcid.org/0000-0003-0231-3142,2025-01-15,https://doi.org/10.3390/rs17020289,yes,gold,2072-4292,Remote Sensing,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/13675,None,None,None
https://orcid.org/0000-0001-8768-5855,first,none,2025-01-01,https://doi.org/10.1098/rspa.2024.0082,no,closed,1364-5021,Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences,Royal Society,https://v2.sherpa.ac.uk/id/publication/11602,None,478:fee_no:Publisher source must be acknowledged with citation;,None
https://orcid.org/0000-0001-7217-3443,middle,none,2025-01-23,https://doi.org/10.1210/clinem/dgaf041,yes,hybrid,0021-972X,The Journal of Clinical Endocrinology & Metabolism,Oxford University Press,error,error,error,error
,first,none,2025-01-01,https://doi.org/10.1016/j.jbiomech.2025.112553,yes,hybrid,0021-9290,Journal of Biomechanics,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/13780,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-2112-3918,first,https://orcid.org/0000-0002-1577-2658,2025-01-24,https://doi.org/10.1096/fj.202402421r,yes,hybrid,0892-6638,The FASEB Journal,Wiley,https://v2.sherpa.ac.uk/id/publication/14441,None,None,None
https://orcid.org/0000-0003-3474-0843,middle,https://orcid.org/0000-0002-5301-7899,2025-01-27,https://doi.org/10.1021/acs.est.4c10360,no,closed,0013-936X,Environmental Science & Technology,American Chemical Society,https://v2.sherpa.ac.uk/id/publication/7774,None,None,710:fee_yes:no conditions;
,middle,none,2025-01-29,https://doi.org/10.1080/02791072.2025.2452226,no,closed,0279-1072,Journal of Psychoactive Drugs,Taylor & Francis,https://v2.sherpa.ac.uk/id/publication/18901,None,None,None
https://orcid.org/0000-0002-6352-8289,middle,none,2025-01-29,https://doi.org/10.1080/15290824.2024.2429504,no,closed,1529-0824,Journal of Dance Education,Taylor & Francis,https://v2.sherpa.ac.uk/id/publication/18889,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
https://orcid.org/0000-0003-4935-5833,first,https://orcid.org/0000-0003-4935-5833,2025-01-01,https://doi.org/10.1123/jsm.2024-0199,no,closed,0888-4773,Journal of Sport Management,Human Kinetics,https://v2.sherpa.ac.uk/id/publication/12254,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0002-5547-2297,first,https://orcid.org/0000-0002-5547-2297,2025-01-01,https://doi.org/10.1123/ijsc.2024-0231,no,closed,1936-3907,International Journal of Sport Communication,Human Kinetics,https://v2.sherpa.ac.uk/id/publication/12247,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0001-8188-9769,middle,https://orcid.org/0000-0002-5520-1622,2025-02-01,https://doi.org/10.1029/2023je008046,yes,hybrid,2169-9097,Journal of Geophysical Research Planets,Wiley,https://v2.sherpa.ac.uk/id/publication/11077,"1013:fee_no:Set statement to accompany deposit (see policy) Upon publication, published source must be acknowledged with citation Upon publication, must link to published article with DOI;",None,9708:fee_no:Published source must be acknowledged with citation Copyright must be acknowledged Must link to published article with DOI;
https://orcid.org/0009-0004-2631-2931,first,https://orcid.org/0000-0001-7640-2071,2025-02-09,https://doi.org/10.1177/00222194241312189,no,closed,0022-2194,Journal of Learning Disabilities,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9307,None,None,None
https://orcid.org/0000-0002-4676-2823,first,https://orcid.org/0000-0002-4676-2823,2025-02-09,https://doi.org/10.1177/10778012251319317,no,closed,1077-8012,Violence Against Women,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9564,None,None,None
https://orcid.org/0000-0002-4989-5058,middle,https://orcid.org/0000-0002-2573-9683,2025-02-12,https://doi.org/10.1177/09622802241310326,yes,hybrid,0962-2802,Statistical Methods in Medical Research,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9490,None,None,None
https://orcid.org/0000-0002-5214-1943,middle,none,2025-02-13,https://doi.org/10.1002/jad.12476,yes,hybrid,0140-1971,Journal of Adolescence,Wiley,https://v2.sherpa.ac.uk/id/publication/13752,11219:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11220:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);11221:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
https://orcid.org/0000-0002-2678-2798,middle,none,2025-02-19,https://doi.org/10.1016/j.evalprogplan.2025.102559,yes,hybrid,0149-7189,Evaluation and Program Planning,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/16897,None,10970:fee_no:Must link to publisher version with DOI;,10972:fee_yes:Published source must be acknowledged with citation;10973:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-3710-4893,middle,https://orcid.org/0000-0001-6848-2497,2025-02-19,https://doi.org/10.1021/acs.chemrestox.4c00425,no,closed,0893-228X,Chemical Research in Toxicology,American Chemical Society,https://v2.sherpa.ac.uk/id/publication/7769,None,None,710:fee_yes:no conditions;
https://orcid.org/0000-0001-9583-4582,last,https://orcid.org/0000-0002-1262-2427,2025-02-25,https://doi.org/10.3390/children12030281,yes,gold,2227-9067,Children,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/25580,None,None,None
https://orcid.org/0000-0002-4326-7405,last,none,2025-02-24,https://doi.org/10.1111/nicc.13273,yes,hybrid,1362-1017,Nursing in Critical Care,Wiley,https://v2.sherpa.ac.uk/id/publication/15923,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0001-5678-7234,middle,none,2025-03-19,https://doi.org/10.1016/j.jamda.2025.105521,yes,hybrid,1525-8610,Journal of the American Medical Directors Association,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/14125,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0001-5668-9706,middle,none,2025-03-04,https://doi.org/10.1097/jsm.0000000000001340,no,closed,1050-642X,Clinical Journal of Sport Medicine,Lippincott Williams & Wilkins,https://v2.sherpa.ac.uk/id/publication/8742,None,6750:fee_no:Set statement to accompany deposit;,None
https://orcid.org/0000-0003-1940-1755,first,none,2025-03-01,https://doi.org/10.1002/ecy.70009,yes,hybrid,0012-9658,Ecology,Wiley,https://v2.sherpa.ac.uk/id/publication/13292,None,None,None
https://orcid.org/0000-0003-2833-2501,middle,none,2025-03-07,https://doi.org/10.1016/j.envres.2025.121330,no,closed,0013-9351,Environmental Research,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/11285,None,11157:fee_no:Must link to publisher version with DOI;11161:fee_no:Must link to published article with DOI Publisher source must be acknowledged with citation;,11159:fee_yes:Published source must be acknowledged with citation;11160:fee_yes:no conditions;
https://orcid.org/0000-0001-6670-3030,first,none,2025-03-13,https://doi.org/10.1016/j.jelekin.2025.102992,yes,hybrid,1050-6411,Journal of Electromyography and Kinesiology,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/40987,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
,first,none,2025-03-11,https://doi.org/10.1002/adsc.202500008,no,closed,1615-4150,Advanced Synthesis & Catalysis,Wiley,https://v2.sherpa.ac.uk/id/publication/1447,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-4652-6310,first,none,2025-03-01,https://doi.org/10.3138/cjc-2024-0019,no,closed,0705-3657,Canadian Journal of Communication,Jilin Academy of Agricultural Sciences,https://v2.sherpa.ac.uk/id/publication/10292,None,354:fee_no:Must link to published article with DOI;8618:fee_no:Publisher copyright and source must be acknowledged;,None
https://orcid.org/0000-0001-7217-3443,middle,none,2025-03-19,https://doi.org/10.4088/jcp.24br15503,no,closed,0160-6689,The Journal of Clinical Psychiatry,"Physicians Postgraduate Press, Inc.",https://v2.sherpa.ac.uk/id/publication/15067,None,9729:fee_no:no conditions;,None
https://orcid.org/0000-0001-6067-470X,first,none,2025-03-01,https://doi.org/10.1111/jar.70034,yes,hybrid,1360-2322,Journal of Applied Research in Intellectual Disabilities,Wiley,https://v2.sherpa.ac.uk/id/publication/7037,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0001-9796-5156,first,none,2025-03-24,https://doi.org/10.5465/amle.2022.0435,no,closed,1537-260X,Academy of Management Learning and Education,Academy of Management,error,error,error,error
https://orcid.org/0000-0003-1633-9757,first,none,2025-03-01,https://doi.org/10.1016/j.jri.2025.104524,no,closed,0165-0378,Journal of Reproductive Immunology,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/14103,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0002-2473-8646,middle,none,2025-03-29,https://doi.org/10.1177/00076503251324569,no,closed,0007-6503,Business & Society,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9059,None,None,None
https://orcid.org/0000-0001-8418-449X,first,none,2025-04-01,https://doi.org/10.14814/phy2.70299,yes,gold,2051-817X,Physiological Reports,Wiley,https://v2.sherpa.ac.uk/id/publication/27408,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
https://orcid.org/0000-0002-2451-7982,first,none,2025-04-01,https://doi.org/10.1016/j.nlm.2025.108048,yes,hybrid,1074-7427,Neurobiology of Learning and Memory,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/12877,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
,first,none,2025-04-03,https://doi.org/10.3390/adolescents5020011,yes,gold,2673-7051,Adolescents,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/39197,None,None,None
https://orcid.org/0000-0001-6101-4439,first,none,2025-04-03,https://doi.org/10.1113/jp288674,no,closed,0022-3751,The Journal of Physiology,Wiley,https://v2.sherpa.ac.uk/id/publication/6978,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-4214-8543,middle,none,2025-04-15,https://doi.org/10.1111/nyas.15331,no,closed,0077-8923,Annals of the New York Academy of Sciences,Wiley,https://v2.sherpa.ac.uk/id/publication/7600,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
,middle,none,2025-04-16,https://doi.org/10.3390/educsci15040497,yes,gold,2227-7102,Education Sciences,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/24796,None,None,None
https://orcid.org/0000-0002-3882-000X,first,none,2025-04-23,https://doi.org/10.1007/s00442-025-05711-6,yes,green,0029-8549,Oecologia,Springer Science+Business Media,https://v2.sherpa.ac.uk/id/publication/8139,None,None,None
https://orcid.org/0000-0002-7274-4645,last,none,2025-04-22,https://doi.org/10.1080/14413523.2025.2493430,no,closed,1441-3523,Sport Management Review,Taylor & Francis,https://v2.sherpa.ac.uk/id/publication/17154,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
https://orcid.org/0000-0002-1833-2746,middle,none,2025-05-08,https://doi.org/10.1016/j.ejvs.2025.04.067,yes,hybrid,1078-5884,European Journal of Vascular and Endovascular Surgery,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/13237,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
,first,none,2025-05-12,https://doi.org/10.1111/jasp.13101,yes,hybrid,0021-9029,Journal of Applied Social Psychology,Wiley,https://v2.sherpa.ac.uk/id/publication/15089,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-6293-4197,first,https://orcid.org/0000-0002-6293-4197,2025-05-16,https://doi.org/10.1016/j.drugpo.2025.104840,yes,hybrid,0955-3959,International Journal of Drug Policy,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/12559,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
,first,none,2025-05-01,https://doi.org/10.14814/phy2.70385,yes,gold,2051-817X,Physiological Reports,Wiley,https://v2.sherpa.ac.uk/id/publication/27408,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
https://orcid.org/0000-0002-2678-2798,first,none,2025-05-28,https://doi.org/10.3390/educsci15060665,yes,gold,2227-7102,Education Sciences,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/24796,None,None,None
,first,,2025-05-04,https://doi.org/10.1080/08989575.2025.2491899,no,closed,0898-9575,a/b Auto/Biography Studies,Taylor & Francis,https://v2.sherpa.ac.uk/id/publication/29509,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
https://orcid.org/0000-0002-6149-4978,middle,none,2025-01-01,https://doi.org/10.1123/ijspp.2025-0034,no,closed,1555-0265,International Journal of Sports Physiology and Performance,Human Kinetics,https://v2.sherpa.ac.uk/id/publication/12249,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0002-6591-6760,middle,none,2025-06-12,https://doi.org/10.1002/ecog.07801,yes,gold,0906-7590,Ecography,Wiley,https://v2.sherpa.ac.uk/id/publication/7649,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
